interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter2_gender,alter2_age,alter2_class,alter2_home,alter3_gender,alter3_age,alter3_class,alter3_home,alter4_gender,alter4_age,alter4_class,alter4_home,alter5_gender,alter5_age,alter5_class,alter5_home
3,9/6/17,9:17:00 AM,Male,19,Sophomore,Bay Area,4,Female,20,Junior,Bay Area,Male,21,Junior,LA Area,Female,19,Sophomore,LA Area,Female,18,Freshman,Bay Area,,,,
1,8/28/17,1:42:00 PM,Male,20,Senior,LA Area,2,Male,55,Other,Bay Area,Female,35,Other,Rest of United States,,,,,,,,,,,,
2,8/28/17,10:11:00 PM,Female,19,Sophomore,Bay Area,5,Female,20,Senior,Bay Area,Female,19,Sophomore,Bay Area,Male,19,Sophomore,Bay Area,Female,18,Sophomore,Bay Area,Male,19,Sophomore,Bay Area
3,8/28/17,10:15:00 PM,Female,19,Sophomore,Bay Area,2,Female,25,Other,Bay Area,Female,19,Sophomore,Bay Area,,,,,,,,,,,,
1,8/28/17,1:38:00 PM,Male,18,Sophomore,Bay Area,6+,Female,19,Sophomore,Bay Area,Female,45,Other,Bay Area,Female,19,Sophomore,Bay Area,Male,48,Other,Bay Area,Male,19,Sophomore,Bay Area
2,9/6/17,9:17:00 PM,Male,19,Sophomore,LA Area,6+,Male,19,Sophomore,LA Area,Female,10,Other,LA Area,Male,19,Sophomore,LA Area,Male,19,Sophomore,LA Area,Male,19,Sophomore,LA Area
3,9/6/17,9:23:00 PM,Female,18,Sophomore,LA Area,6+,Female,21,Other,LA Area,Female,19,Sophomore,LA Area,Female,19,Sophomore,LA Area,Female,19,Sophomore,LA Area,Male,19,Sophomore,Bay Area
1,8/28/17,1:43:00 PM,Female,22,Junior,Rest of World,3,Male,28,Junior,LA Area,Female,25,Senior,Rest of World,Female,24,Other,Rest of World,,,,,,,,
2,9/5/17,11:40:00 PM,Male,20,Senior,LA Area,5,Male,20,Junior,Bay Area,Male,20,Junior,Bay Area,Male,57,Other,LA Area,Female,23,Other,LA Area,Female,18,Sophomore,Bay Area
3,9/6/17,10:55:00 AM,Male,20,Junior,Bay Area,5,Male,20,Junior,Bay Area,Male,20,Senior,LA Area,Female,20,Junior,Bay Area,Female,20,Junior,Bay Area,Female,20,Junior,Bay Area
1,9/6/17,10:09:00 PM,Female,20,Senior,Bay Area,5,Female,56,Other,Bay Area,Female,24,Other,Bay Area,Male,22,Senior,Bay Area,Male,60,Other,Bay Area,Female,18,Freshman,Bay Area
2,9/7/17,12:04:00 AM,Female,20,Junior,Bay Area,6+,Male,64,Other,Bay Area,Female,56,Other,Bay Area,Female,22,Senior,Bay Area,Female,20,Junior,Rest of California,Female,19,Junior,Rest of California
3,9/7/17,12:18:00 AM,Female,19,Junior,Rest of World,4,Female,49,Other,Rest of World,Male,52,Other,Rest of World,Female,18,Junior,Rest of World,Male,52,Other,Bay Area,,,,
1,8/28/17,1:47:00 PM,Female,19,Sophomore,Bay Area,5,Male,19,Sophomore,Bay Area,Female,18,Sophomore,Bay Area,Female,19,Sophomore,Bay Area,Female,19,Sophomore,Bay Area,Female,49,Other,Bay Area
2,9/5/17,10:30:00 AM,Female,22,Senior,Rest of World,5,Female,22,Senior,Rest of World,Female,22,Other,Rest of World,Male,24,Senior,Rest of World,Male,22,Other,Rest of World,Female,22,Senior,Rest of World
3,9/6/17,6:30:00 PM,Female,23,Senior,Rest of World,5,Female,29,Other,Bay Area,Female,36,Other,Bay Area,Female,45,Other,Rest of World,Female,23,Senior,Bay Area,Female,23,Senior,Bay Area
1,8/28/17,1:50:00 PM,Female,19,Sophomore,Rest of California,4,Male,19,Sophomore,Rest of California,Female,20,Junior,Rest of California,Female,55,Other,Rest of World,Female,19,Sophomore,Bay Area,,,,
2,8/30/17,9:43:00 PM,Female,19,Sophomore,Bay Area,6+,Female,19,Sophomore,Bay Area,Male,22,Other,Rest of California,Female,21,Senior,LA Area,Female,21,Senior,Rest of United States,Female,21,Senior,Bay Area
